,domain_20
s_016um_00253_00325-1,11
s_016um_00055_00005-1,8
s_016um_00280_00402-1,11
s_016um_00203_00323-1,1
s_016um_00069_00311-1,19
s_016um_00354_00302-1,8
s_016um_00138_00411-1,10
s_016um_00197_00364-1,4
s_016um_00253_00076-1,14
s_016um_00333_00268-1,4
s_016um_00016_00364-1,16
s_016um_00230_00389-1,17
s_016um_00059_00316-1,8
s_016um_00059_00322-1,10
s_016um_00353_00361-1,13
s_016um_00026_00137-1,8
s_016um_00249_00230-1,11
s_016um_00008_00056-1,6
s_016um_00113_00163-1,9
s_016um_00166_00362-1,17
s_016um_00183_00367-1,13
s_016um_00041_00096-1,8
s_016um_00237_00010-1,18
s_016um_00248_00185-1,8
s_016um_00297_00244-1,13
s_016um_00153_00289-1,5
s_016um_00185_00254-1,12
s_016um_00058_00012-1,8
s_016um_00026_00331-1,8
s_016um_00135_00363-1,14
s_016um_00300_00247-1,1
s_016um_00201_00310-1,11
s_016um_00152_00058-1,1
s_016um_00230_00410-1,8
s_016um_00158_00195-1,9
s_016um_00321_00220-1,8
s_016um_00014_00026-1,6
s_016um_00049_00143-1,6
s_016um_00346_00272-1,8
s_016um_00024_00373-1,11
s_016um_00285_00064-1,16
s_016um_00324_00355-1,14
s_016um_00039_00389-1,11
s_016um_00348_00236-1,8
s_016um_00254_00261-1,12
s_016um_00278_00182-1,16
s_016um_00208_00153-1,9
s_016um_00162_00227-1,13
s_016um_00074_00117-1,6
s_016um_00231_00395-1,17
s_016um_00217_00271-1,7
s_016um_00117_00342-1,17
s_016um_00364_00261-1,8
s_016um_00067_00396-1,11
s_016um_00089_00151-1,6
s_016um_00349_00330-1,8
s_016um_00120_00231-1,5
s_016um_00050_00109-1,9
s_016um_00207_00275-1,5
s_016um_00337_00385-1,11
s_016um_00095_00183-1,3
s_016um_00162_00187-1,9
s_016um_00269_00295-1,13
s_016um_00084_00106-1,9
s_016um_00048_00384-1,11
s_016um_00157_00087-1,5
s_016um_00125_00156-1,14
s_016um_00248_00200-1,16
s_016um_00190_00193-1,10
s_016um_00208_00291-1,14
s_016um_00128_00055-1,7
s_016um_00205_00235-1,6
s_016um_00250_00081-1,20
s_016um_00007_00094-1,6
s_016um_00214_00398-1,8
s_016um_00309_00130-1,17
s_016um_00269_00347-1,1
s_016um_00244_00015-1,8
s_016um_00157_00077-1,9
s_016um_00272_00154-1,18
s_016um_00077_00268-1,5
s_016um_00244_00161-1,6
s_016um_00291_00194-1,16
s_016um_00044_00378-1,20
s_016um_00097_00172-1,8
s_016um_00080_00015-1,6
s_016um_00179_00265-1,6
s_016um_00003_00144-1,6
s_016um_00298_00078-1,16
s_016um_00333_00323-1,17
s_016um_00258_00200-1,19
s_016um_00027_00241-1,15
s_016um_00307_00058-1,18
s_016um_00048_00210-1,8
s_016um_00220_00170-1,3
s_016um_00232_00015-1,14
s_016um_00258_00078-1,18
s_016um_00279_00207-1,8
s_016um_00109_00253-1,18
s_016um_00297_00274-1,16
s_016um_00308_00370-1,13
s_016um_00335_00222-1,20
s_016um_00288_00374-1,17
s_016um_00103_00143-1,9
s_016um_00280_00011-1,20
s_016um_00216_00215-1,12
s_016um_00274_00331-1,20
s_016um_00028_00001-1,6
s_016um_00210_00311-1,17
s_016um_00112_00210-1,9
s_016um_00302_00243-1,11
s_016um_00249_00241-1,11
s_016um_00107_00251-1,12
s_016um_00234_00178-1,16
s_016um_00030_00331-1,8
s_016um_00317_00232-1,10
s_016um_00193_00114-1,9
s_016um_00268_00231-1,10
s_016um_00197_00279-1,1
s_016um_00166_00184-1,6
s_016um_00199_00368-1,14
s_016um_00237_00278-1,17
s_016um_00231_00077-1,18
s_016um_00189_00012-1,10
s_016um_00039_00054-1,8
s_016um_00290_00052-1,1
s_016um_00109_00178-1,6
s_016um_00255_00091-1,18
s_016um_00032_00167-1,8
s_016um_00300_00189-1,16
s_016um_00312_00351-1,11
s_016um_00247_00390-1,8
s_016um_00166_00411-1,17
s_016um_00050_00335-1,11
s_016um_00159_00235-1,9
s_016um_00124_00047-1,10
s_016um_00162_00022-1,18
s_016um_00121_00375-1,16
s_016um_00072_00034-1,6
s_016um_00081_00076-1,9
s_016um_00011_00101-1,6
s_016um_00181_00273-1,12
s_016um_00039_00267-1,8
s_016um_00209_00313-1,11
s_016um_00010_00229-1,8
s_016um_00255_00077-1,8
s_016um_00160_00227-1,3
s_016um_00295_00117-1,13
s_016um_00117_00070-1,15
s_016um_00059_00068-1,6
s_016um_00198_00176-1,4
s_016um_00080_00315-1,18
s_016um_00140_00130-1,14
s_016um_00109_00045-1,6
s_016um_00167_00416-1,11
s_016um_00054_00229-1,9
s_016um_00118_00171-1,9
s_016um_00208_00361-1,16
s_016um_00193_00005-1,10
s_016um_00303_00129-1,11
s_016um_00061_00088-1,6
s_016um_00058_00064-1,8
s_016um_00087_00305-1,8
s_016um_00064_00320-1,5
s_016um_00105_00211-1,3
s_016um_00241_00020-1,8
s_016um_00154_00078-1,9
s_016um_00240_00079-1,17
s_016um_00085_00293-1,8
s_016um_00236_00258-1,12
s_016um_00257_00002-1,17
