,domain_20
s_016um_00096_00055-1,9
s_016um_00042_00193-1,8
s_016um_00274_00294-1,12
s_016um_00225_00051-1,6
s_016um_00159_00202-1,6
s_016um_00016_00300-1,5
s_016um_00133_00269-1,9
s_016um_00213_00089-1,6
s_016um_00011_00294-1,5
s_016um_00064_00023-1,8
s_016um_00217_00054-1,10
s_016um_00012_00267-1,8
s_016um_00028_00263-1,12
s_016um_00141_00106-1,6
s_016um_00198_00069-1,6
s_016um_00152_00125-1,17
s_016um_00116_00245-1,8
s_016um_00287_00296-1,12
s_016um_00144_00077-1,6
s_016um_00025_00089-1,8
s_016um_00180_00285-1,6
s_016um_00289_00129-1,17
s_016um_00071_00284-1,5
s_016um_00211_00396-1,16
s_016um_00273_00250-1,17
s_016um_00207_00177-1,3
s_016um_00186_00278-1,15
s_016um_00065_00322-1,11
s_016um_00144_00117-1,17
s_016um_00320_00290-1,16
s_016um_00203_00084-1,6
s_016um_00297_00325-1,12
s_016um_00281_00003-1,14
s_016um_00313_00218-1,11
s_016um_00330_00265-1,8
s_016um_00268_00043-1,18
s_016um_00087_00202-1,9
s_016um_00211_00310-1,17
s_016um_00256_00100-1,18
s_016um_00178_00260-1,12
s_016um_00262_00203-1,17
s_016um_00069_00239-1,10
s_016um_00043_00156-1,8
s_016um_00309_00354-1,20
s_016um_00076_00397-1,4
s_016um_00050_00090-1,6
s_016um_00167_00274-1,18
s_016um_00096_00289-1,11
s_016um_00135_00080-1,10
s_016um_00046_00305-1,8
s_016um_00040_00151-1,8
s_016um_00136_00017-1,10
s_016um_00153_00149-1,17
s_016um_00169_00323-1,17
s_016um_00077_00327-1,17
s_016um_00167_00008-1,10
s_016um_00295_00277-1,11
s_016um_00141_00147-1,10
s_016um_00310_00131-1,11
s_016um_00204_00213-1,7
s_016um_00116_00172-1,9
s_016um_00126_00206-1,3
s_016um_00101_00284-1,8
s_016um_00310_00236-1,17
s_016um_00132_00384-1,17
s_016um_00242_00288-1,18
s_016um_00283_00355-1,8
s_016um_00134_00200-1,6
s_016um_00135_00247-1,18
s_016um_00102_00118-1,8
s_016um_00062_00151-1,8
s_016um_00294_00310-1,20
s_016um_00093_00409-1,4
s_016um_00260_00193-1,10
s_016um_00279_00247-1,17
s_016um_00074_00235-1,6
s_016um_00145_00406-1,16
s_016um_00265_00129-1,17
s_016um_00279_00186-1,11
s_016um_00245_00239-1,1
s_016um_00070_00331-1,16
s_016um_00356_00319-1,8
s_016um_00036_00264-1,5
s_016um_00101_00169-1,9
s_016um_00071_00401-1,17
s_016um_00138_00120-1,17
s_016um_00018_00022-1,6
s_016um_00024_00074-1,6
s_016um_00148_00009-1,14
s_016um_00051_00125-1,9
s_016um_00294_00383-1,16
s_016um_00183_00248-1,12
s_016um_00282_00018-1,18
s_016um_00225_00274-1,1
s_016um_00155_00095-1,10
s_016um_00102_00060-1,9
s_016um_00305_00004-1,6
s_016um_00290_00069-1,17
s_016um_00097_00415-1,4
s_016um_00164_00401-1,13
s_016um_00275_00332-1,17
s_016um_00173_00336-1,17
s_016um_00129_00047-1,10
s_016um_00171_00012-1,17
s_016um_00135_00014-1,13
s_016um_00071_00232-1,15
s_016um_00320_00122-1,8
s_016um_00078_00415-1,4
s_016um_00250_00157-1,7
s_016um_00156_00065-1,18
s_016um_00218_00193-1,10
s_016um_00119_00094-1,17
s_016um_00095_00150-1,9
s_016um_00312_00219-1,16
s_016um_00064_00194-1,8
s_016um_00213_00370-1,11
s_016um_00305_00314-1,11
s_016um_00277_00405-1,8
s_016um_00099_00307-1,14
s_016um_00030_00184-1,6
s_016um_00029_00407-1,5
s_016um_00250_00037-1,8
s_016um_00290_00301-1,12
s_016um_00041_00292-1,8
s_016um_00066_00153-1,8
s_016um_00278_00262-1,13
s_016um_00029_00079-1,6
s_016um_00017_00357-1,16
s_016um_00275_00330-1,13
s_016um_00004_00046-1,8
s_016um_00135_00355-1,10
s_016um_00127_00323-1,20
s_016um_00155_00398-1,16
s_016um_00199_00227-1,9
s_016um_00229_00149-1,18
s_016um_00038_00379-1,12
s_016um_00280_00003-1,14
s_016um_00305_00021-1,10
s_016um_00289_00303-1,12
s_016um_00230_00407-1,8
s_016um_00300_00255-1,11
s_016um_00238_00274-1,11
s_016um_00335_00375-1,11
s_016um_00160_00325-1,18
s_016um_00191_00267-1,13
s_016um_00094_00104-1,9
s_016um_00030_00230-1,8
s_016um_00317_00066-1,8
s_016um_00218_00255-1,12
s_016um_00328_00257-1,11
s_016um_00044_00230-1,8
s_016um_00181_00177-1,9
s_016um_00217_00051-1,8
s_016um_00048_00241-1,15
s_016um_00009_00381-1,16
s_016um_00027_00220-1,8
s_016um_00285_00403-1,11
s_016um_00338_00254-1,16
s_016um_00115_00261-1,5
s_016um_00114_00138-1,11
s_016um_00073_00393-1,4
s_016um_00218_00251-1,12
s_016um_00211_00077-1,9
s_016um_00044_00276-1,8
s_016um_00302_00047-1,18
s_016um_00100_00076-1,11
s_016um_00287_00033-1,20
s_016um_00324_00231-1,4
s_016um_00032_00037-1,6
s_016um_00391_00253-1,8
s_016um_00039_00201-1,8
s_016um_00222_00370-1,16
s_016um_00233_00282-1,11
s_016um_00025_00386-1,11
s_016um_00187_00286-1,17
s_016um_00014_00039-1,9
s_016um_00256_00116-1,7
s_016um_00183_00359-1,16
s_016um_00075_00339-1,11
s_016um_00155_00066-1,6
s_016um_00206_00013-1,10
s_016um_00102_00234-1,19
s_016um_00024_00418-1,15
s_016um_00152_00091-1,18
s_016um_00026_00219-1,3
s_016um_00140_00013-1,14
s_016um_00171_00082-1,9
s_016um_00098_00234-1,19
s_016um_00216_00384-1,8
s_016um_00163_00267-1,5
s_016um_00079_00358-1,11
s_016um_00147_00019-1,18
s_016um_00071_00095-1,9
s_016um_00069_00022-1,8
s_016um_00150_00354-1,17
s_016um_00314_00394-1,17
s_016um_00371_00296-1,3
s_016um_00179_00353-1,4
s_016um_00098_00295-1,5
s_016um_00067_00243-1,19
s_016um_00354_00367-1,1
s_016um_00166_00353-1,12
s_016um_00183_00327-1,1
s_016um_00002_00064-1,6
s_016um_00087_00418-1,18
s_016um_00055_00199-1,6
s_016um_00204_00174-1,3
s_016um_00311_00320-1,7
s_016um_00309_00306-1,13
s_016um_00009_00065-1,9
s_016um_00235_00383-1,6
s_016um_00083_00018-1,9
s_016um_00143_00223-1,8
s_016um_00134_00179-1,6
s_016um_00135_00103-1,6
s_016um_00063_00187-1,8
s_016um_00289_00248-1,1
s_016um_00160_00390-1,8
s_016um_00127_00145-1,14
s_016um_00343_00231-1,13
s_016um_00034_00415-1,3
s_016um_00183_00265-1,3
s_016um_00303_00308-1,7
s_016um_00241_00188-1,14
s_016um_00080_00152-1,9
s_016um_00102_00086-1,13
s_016um_00043_00050-1,6
s_016um_00071_00224-1,8
s_016um_00236_00214-1,10
s_016um_00133_00117-1,18
s_016um_00055_00157-1,8
s_016um_00254_00052-1,16
s_016um_00187_00275-1,9
s_016um_00290_00185-1,9
s_016um_00078_00379-1,13
s_016um_00022_00386-1,17
s_016um_00069_00331-1,16
s_016um_00001_00039-1,8
s_016um_00073_00330-1,13
s_016um_00270_00365-1,16
s_016um_00122_00382-1,14
s_016um_00075_00306-1,18
s_016um_00158_00133-1,10
s_016um_00005_00416-1,10
s_016um_00229_00410-1,8
s_016um_00010_00071-1,9
s_016um_00152_00409-1,16
s_016um_00311_00264-1,4
s_016um_00241_00278-1,17
s_016um_00247_00363-1,8
s_016um_00066_00138-1,8
s_016um_00051_00395-1,11
s_016um_00150_00288-1,5
s_016um_00273_00264-1,11
s_016um_00295_00023-1,8
s_016um_00153_00251-1,12
s_016um_00135_00335-1,18
s_016um_00128_00388-1,1
s_016um_00304_00190-1,16
s_016um_00290_00231-1,8
s_016um_00275_00107-1,18
s_016um_00126_00094-1,12
s_016um_00196_00108-1,3
s_016um_00238_00056-1,20
s_016um_00181_00374-1,5
s_016um_00128_00066-1,7
s_016um_00117_00101-1,10
s_016um_00127_00024-1,6
s_016um_00140_00101-1,8
s_016um_00209_00034-1,8
s_016um_00151_00316-1,12
s_016um_00160_00306-1,14
s_016um_00291_00016-1,17
s_016um_00247_00307-1,16
s_016um_00002_00390-1,11
s_016um_00206_00278-1,9
s_016um_00058_00081-1,8
s_016um_00060_00040-1,8
s_016um_00206_00365-1,12
s_016um_00334_00249-1,11
s_016um_00264_00305-1,13
s_016um_00156_00153-1,18
s_016um_00051_00224-1,8
s_016um_00186_00011-1,17
s_016um_00094_00032-1,9
s_016um_00177_00375-1,11
s_016um_00007_00287-1,5
s_016um_00228_00282-1,13
s_016um_00130_00114-1,17
s_016um_00049_00189-1,8
s_016um_00026_00319-1,8
s_016um_00076_00354-1,16
s_016um_00186_00386-1,15
s_016um_00109_00371-1,1
s_016um_00021_00177-1,8
s_016um_00242_00162-1,16
s_016um_00271_00307-1,10
s_016um_00010_00273-1,8
s_016um_00014_00258-1,8
s_016um_00321_00346-1,11
s_016um_00180_00182-1,7
s_016um_00074_00378-1,1
s_016um_00270_00366-1,17
s_016um_00174_00111-1,9
s_016um_00312_00361-1,11
s_016um_00147_00231-1,12
s_016um_00315_00326-1,13
s_016um_00389_00244-1,12
s_016um_00257_00208-1,18
s_016um_00011_00310-1,8
s_016um_00218_00309-1,8
s_016um_00238_00310-1,17
s_016um_00253_00081-1,1
s_016um_00306_00318-1,11
s_016um_00229_00129-1,18
s_016um_00281_00098-1,1
s_016um_00214_00390-1,4
s_016um_00185_00230-1,6
s_016um_00296_00263-1,11
s_016um_00000_00114-1,6
s_016um_00073_00341-1,11
s_016um_00093_00035-1,3
s_016um_00104_00367-1,1
s_016um_00023_00313-1,8
s_016um_00205_00129-1,20
s_016um_00302_00320-1,11
s_016um_00021_00324-1,8
s_016um_00107_00415-1,11
s_016um_00174_00015-1,18
s_016um_00162_00104-1,8
s_016um_00171_00089-1,6
s_016um_00272_00393-1,8
s_016um_00145_00066-1,17
s_016um_00076_00076-1,9
s_016um_00277_00120-1,7
s_016um_00276_00338-1,11
s_016um_00147_00167-1,17
s_016um_00160_00052-1,6
s_016um_00132_00293-1,5
s_016um_00240_00254-1,12
s_016um_00097_00044-1,6
s_016um_00261_00357-1,11
s_016um_00261_00238-1,17
s_016um_00274_00047-1,18
s_016um_00355_00233-1,8
s_016um_00016_00351-1,8
s_016um_00118_00191-1,9
s_016um_00085_00070-1,9
s_016um_00119_00275-1,5
s_016um_00162_00318-1,13
s_016um_00325_00263-1,12
s_016um_00350_00313-1,18
s_016um_00075_00285-1,5
s_016um_00168_00017-1,18
s_016um_00247_00270-1,10
s_016um_00091_00030-1,6
s_016um_00223_00377-1,13
s_016um_00116_00354-1,11
s_016um_00021_00289-1,8
s_016um_00277_00070-1,16
s_016um_00230_00375-1,8
s_016um_00287_00225-1,20
s_016um_00164_00205-1,6
s_016um_00287_00205-1,1
s_016um_00014_00120-1,6
s_016um_00039_00147-1,6
s_016um_00232_00331-1,17
s_016um_00294_00143-1,6
s_016um_00202_00003-1,20
s_016um_00089_00272-1,8
s_016um_00045_00069-1,6
s_016um_00233_00244-1,7
s_016um_00178_00070-1,9
s_016um_00257_00285-1,18
s_016um_00213_00307-1,18
s_016um_00307_00308-1,7
s_016um_00132_00397-1,8
s_016um_00115_00349-1,13
s_016um_00266_00271-1,18
s_016um_00206_00203-1,8
s_016um_00245_00018-1,8
s_016um_00048_00290-1,5
s_016um_00061_00129-1,8
s_016um_00285_00381-1,16
s_016um_00091_00241-1,19
s_016um_00222_00173-1,3
s_016um_00028_00039-1,8
s_016um_00294_00112-1,11
s_016um_00293_00381-1,16
s_016um_00285_00000-1,10
s_016um_00262_00122-1,14
s_016um_00289_00178-1,11
s_016um_00136_00126-1,8
s_016um_00285_00186-1,16
s_016um_00115_00414-1,1
s_016um_00143_00044-1,7
s_016um_00161_00325-1,11
s_016um_00036_00330-1,16
s_016um_00002_00215-1,8
s_016um_00091_00143-1,3
s_016um_00023_00083-1,8
s_016um_00269_00384-1,8
s_016um_00041_00411-1,1
s_016um_00254_00079-1,18
s_016um_00292_00145-1,8
s_016um_00269_00365-1,13
s_016um_00202_00191-1,3
s_016um_00195_00018-1,18
s_016um_00226_00067-1,20
s_016um_00252_00036-1,17
s_016um_00251_00018-1,14
s_016um_00037_00201-1,8
s_016um_00304_00229-1,4
s_016um_00088_00062-1,3
s_016um_00043_00157-1,8
s_016um_00031_00088-1,6
s_016um_00278_00131-1,11
s_016um_00088_00244-1,12
s_016um_00009_00092-1,8
s_016um_00193_00265-1,9
s_016um_00131_00320-1,18
s_016um_00230_00042-1,3
s_016um_00211_00115-1,6
s_016um_00286_00317-1,12
s_016um_00234_00177-1,16
s_016um_00273_00401-1,12
s_016um_00177_00270-1,12
s_016um_00315_00067-1,4
s_016um_00106_00298-1,5
s_016um_00045_00254-1,12
s_016um_00210_00245-1,12
s_016um_00322_00367-1,13
s_016um_00082_00166-1,7
s_016um_00285_00036-1,11
s_016um_00051_00328-1,16
s_016um_00207_00140-1,10
s_016um_00289_00083-1,16
s_016um_00254_00078-1,18
s_016um_00241_00146-1,20
s_016um_00210_00050-1,6
s_016um_00078_00051-1,6
s_016um_00017_00030-1,6
s_016um_00142_00110-1,18
s_016um_00344_00219-1,8
s_016um_00275_00140-1,8
s_016um_00241_00228-1,18
s_016um_00128_00093-1,8
s_016um_00081_00307-1,8
s_016um_00139_00330-1,18
s_016um_00002_00139-1,8
s_016um_00203_00111-1,9
s_016um_00249_00158-1,4
s_016um_00245_00021-1,6
s_016um_00081_00012-1,6
s_016um_00136_00093-1,18
s_016um_00332_00340-1,20
s_016um_00337_00357-1,11
s_016um_00172_00373-1,12
s_016um_00209_00283-1,18
s_016um_00091_00150-1,3
s_016um_00045_00076-1,8
s_016um_00042_00064-1,6
s_016um_00279_00119-1,14
s_016um_00203_00085-1,7
s_016um_00033_00034-1,6
s_016um_00329_00398-1,17
s_016um_00200_00139-1,18
s_016um_00323_00382-1,11
s_016um_00044_00317-1,8
s_016um_00234_00238-1,9
s_016um_00060_00189-1,8
s_016um_00054_00309-1,19
s_016um_00264_00396-1,8
s_016um_00079_00074-1,9
s_016um_00314_00401-1,16
s_016um_00023_00130-1,6
s_016um_00085_00109-1,9
s_016um_00188_00382-1,20
s_016um_00174_00154-1,15
s_016um_00215_00373-1,11
s_016um_00224_00171-1,7
s_016um_00195_00157-1,9
s_016um_00284_00307-1,12
s_016um_00063_00353-1,11
s_016um_00254_00280-1,11
s_016um_00240_00391-1,15
s_016um_00152_00358-1,16
s_016um_00213_00045-1,3
s_016um_00170_00020-1,18
s_016um_00051_00243-1,5
s_016um_00174_00374-1,5
s_016um_00059_00136-1,8
s_016um_00166_00309-1,17
s_016um_00284_00134-1,11
s_016um_00048_00322-1,8
s_016um_00169_00117-1,7
s_016um_00107_00095-1,18
s_016um_00093_00271-1,5
s_016um_00357_00369-1,8
s_016um_00295_00107-1,17
s_016um_00305_00052-1,14
s_016um_00200_00339-1,17
s_016um_00215_00175-1,9
s_016um_00010_00162-1,8
s_016um_00000_00077-1,6
s_016um_00239_00106-1,16
s_016um_00088_00319-1,9
s_016um_00101_00099-1,10
s_016um_00163_00123-1,18
s_016um_00227_00240-1,6
s_016um_00111_00292-1,20
s_016um_00159_00248-1,12
s_016um_00241_00275-1,17
s_016um_00052_00186-1,8
s_016um_00294_00244-1,20
s_016um_00267_00325-1,1
s_016um_00181_00178-1,9
s_016um_00187_00322-1,18
s_016um_00188_00334-1,4
s_016um_00080_00009-1,9
s_016um_00131_00002-1,17
s_016um_00195_00118-1,3
s_016um_00066_00121-1,8
s_016um_00254_00143-1,12
s_016um_00187_00408-1,8
s_016um_00293_00005-1,17
s_016um_00133_00346-1,13
s_016um_00278_00381-1,4
s_016um_00078_00097-1,9
s_016um_00127_00059-1,15
s_016um_00143_00239-1,5
s_016um_00110_00097-1,18
s_016um_00227_00365-1,16
s_016um_00301_00346-1,14
s_016um_00226_00350-1,8
s_016um_00191_00166-1,3
s_016um_00304_00417-1,8
s_016um_00312_00140-1,8
s_016um_00081_00401-1,11
s_016um_00247_00117-1,6
s_016um_00280_00408-1,8
s_016um_00259_00029-1,10
s_016um_00079_00261-1,16
s_016um_00290_00369-1,13
s_016um_00002_00254-1,5
s_016um_00127_00371-1,1
s_016um_00046_00139-1,6
s_016um_00222_00123-1,6
s_016um_00296_00391-1,16
s_016um_00184_00052-1,8
s_016um_00338_00268-1,4
s_016um_00090_00111-1,6
s_016um_00189_00411-1,19
s_016um_00123_00210-1,9
s_016um_00121_00040-1,9
s_016um_00128_00354-1,11
s_016um_00132_00083-1,11
s_016um_00334_00225-1,20
s_016um_00216_00197-1,14
s_016um_00174_00377-1,17
s_016um_00052_00260-1,12
s_016um_00239_00110-1,14
s_016um_00111_00373-1,11
s_016um_00222_00238-1,6
s_016um_00315_00262-1,13
s_016um_00165_00013-1,10
s_016um_00245_00002-1,17
s_016um_00109_00212-1,6
s_016um_00048_00387-1,11
s_016um_00257_00164-1,1
s_016um_00053_00286-1,6
s_016um_00147_00361-1,11
s_016um_00330_00409-1,1
s_016um_00189_00133-1,8
s_016um_00011_00028-1,6
s_016um_00336_00396-1,13
s_016um_00091_00281-1,5
s_016um_00212_00313-1,14
s_016um_00268_00339-1,18
s_016um_00110_00363-1,11
s_016um_00292_00243-1,17
s_016um_00041_00047-1,6
s_016um_00286_00071-1,13
s_016um_00294_00333-1,9
s_016um_00133_00209-1,3
s_016um_00219_00256-1,5
s_016um_00175_00248-1,14
s_016um_00038_00361-1,8
s_016um_00124_00268-1,5
s_016um_00177_00143-1,15
s_016um_00326_00403-1,11
s_016um_00055_00266-1,14
s_016um_00232_00089-1,20
s_016um_00241_00000-1,14
s_016um_00144_00302-1,5
s_016um_00263_00012-1,18
s_016um_00145_00227-1,15
s_016um_00288_00234-1,18
s_016um_00097_00173-1,6
s_016um_00309_00257-1,12
s_016um_00166_00116-1,6
s_016um_00050_00310-1,8
s_016um_00226_00257-1,6
s_016um_00214_00223-1,7
s_016um_00236_00393-1,8
s_016um_00287_00186-1,16
s_016um_00270_00085-1,10
s_016um_00115_00088-1,17
s_016um_00243_00043-1,16
s_016um_00353_00290-1,11
s_016um_00211_00251-1,12
s_016um_00127_00215-1,9
s_016um_00189_00212-1,6
s_016um_00251_00164-1,1
s_016um_00005_00090-1,6
s_016um_00237_00134-1,11
s_016um_00218_00254-1,12
s_016um_00030_00215-1,9
s_016um_00344_00233-1,1
s_016um_00137_00120-1,10
s_016um_00298_00141-1,17
s_016um_00361_00236-1,18
s_016um_00338_00210-1,8
s_016um_00256_00209-1,10
s_016um_00252_00156-1,15
s_016um_00220_00353-1,16
s_016um_00306_00192-1,8
s_016um_00030_00410-1,20
s_016um_00290_00393-1,5
s_016um_00048_00354-1,8
s_016um_00275_00392-1,8
s_016um_00051_00110-1,9
s_016um_00007_00164-1,6
s_016um_00244_00129-1,17
s_016um_00310_00238-1,17
s_016um_00179_00414-1,16
s_016um_00160_00168-1,18
s_016um_00217_00179-1,9
s_016um_00270_00055-1,18
s_016um_00284_00055-1,18
s_016um_00103_00190-1,6
s_016um_00354_00350-1,3
s_016um_00267_00028-1,11
s_016um_00279_00293-1,20
s_016um_00050_00179-1,8
s_016um_00158_00228-1,15
s_016um_00034_00328-1,8
s_016um_00157_00081-1,6
s_016um_00183_00365-1,7
s_016um_00307_00247-1,12
s_016um_00097_00111-1,6
s_016um_00136_00103-1,8
s_016um_00100_00090-1,17
s_016um_00292_00415-1,8
s_016um_00072_00058-1,3
s_016um_00262_00168-1,18
s_016um_00214_00275-1,9
s_016um_00128_00367-1,11
s_016um_00038_00024-1,6
s_016um_00186_00066-1,9
s_016um_00052_00412-1,1
s_016um_00205_00027-1,8
s_016um_00291_00202-1,16
s_016um_00169_00027-1,18
s_016um_00289_00207-1,11
s_016um_00241_00062-1,18
s_016um_00179_00060-1,6
s_016um_00101_00409-1,16
s_016um_00083_00145-1,8
s_016um_00090_00055-1,6
s_016um_00103_00180-1,3
s_016um_00216_00210-1,20
s_016um_00244_00289-1,13
s_016um_00026_00107-1,8
s_016um_00146_00123-1,18
s_016um_00209_00179-1,8
s_016um_00192_00158-1,9
s_016um_00129_00155-1,10
s_016um_00183_00231-1,8
s_016um_00064_00150-1,9
s_016um_00231_00380-1,11
s_016um_00093_00386-1,6
s_016um_00142_00417-1,11
s_016um_00286_00287-1,12
s_016um_00314_00282-1,8
s_016um_00089_00375-1,16
s_016um_00314_00308-1,16
s_016um_00066_00210-1,6
s_016um_00157_00179-1,9
s_016um_00220_00180-1,10
s_016um_00007_00369-1,11
s_016um_00337_00330-1,11
s_016um_00201_00175-1,7
s_016um_00313_00290-1,16
s_016um_00277_00220-1,18
s_016um_00157_00006-1,18
s_016um_00217_00064-1,9
s_016um_00331_00352-1,11
s_016um_00041_00068-1,8
s_016um_00014_00401-1,17
s_016um_00005_00042-1,6
s_016um_00211_00313-1,11
s_016um_00247_00120-1,20
s_016um_00166_00334-1,1
s_016um_00089_00154-1,9
s_016um_00356_00283-1,16
s_016um_00196_00240-1,16
s_016um_00233_00145-1,18
s_016um_00321_00246-1,8
s_016um_00112_00254-1,6
s_016um_00347_00224-1,4
s_016um_00203_00045-1,3
s_016um_00277_00374-1,13
s_016um_00051_00167-1,8
s_016um_00246_00060-1,8
s_016um_00198_00349-1,11
s_016um_00155_00330-1,6
s_016um_00239_00301-1,18
s_016um_00017_00032-1,8
s_016um_00092_00210-1,8
s_016um_00220_00388-1,8
s_016um_00096_00218-1,8
s_016um_00324_00236-1,8
s_016um_00309_00411-1,18
s_016um_00310_00297-1,5
s_016um_00134_00104-1,8
s_016um_00208_00299-1,1
s_016um_00001_00119-1,6
s_016um_00231_00384-1,11
s_016um_00020_00165-1,8
s_016um_00261_00321-1,16
s_016um_00260_00106-1,4
s_016um_00191_00254-1,8
s_016um_00314_00295-1,16
s_016um_00141_00149-1,18
s_016um_00220_00024-1,10
s_016um_00162_00100-1,12
s_016um_00177_00043-1,9
s_016um_00142_00391-1,17
s_016um_00110_00224-1,15
s_016um_00149_00257-1,12
s_016um_00049_00393-1,18
s_016um_00026_00173-1,8
s_016um_00172_00111-1,6
s_016um_00047_00050-1,8
s_016um_00299_00304-1,9
s_016um_00068_00226-1,9
s_016um_00211_00387-1,16
s_016um_00026_00207-1,8
s_016um_00265_00172-1,11
s_016um_00217_00206-1,18
s_016um_00043_00279-1,8
s_016um_00216_00398-1,8
s_016um_00029_00414-1,16
s_016um_00096_00301-1,8
s_016um_00143_00269-1,5
s_016um_00055_00260-1,8
s_016um_00341_00265-1,8
s_016um_00295_00028-1,8
s_016um_00017_00067-1,9
s_016um_00046_00361-1,4
s_016um_00052_00397-1,13
s_016um_00130_00154-1,6
s_016um_00165_00289-1,12
s_016um_00286_00194-1,16
s_016um_00338_00246-1,13
s_016um_00230_00252-1,3
s_016um_00207_00238-1,7
s_016um_00007_00103-1,6
s_016um_00023_00112-1,6
s_016um_00061_00087-1,9
s_016um_00280_00382-1,1
s_016um_00273_00300-1,13
s_016um_00074_00344-1,11
s_016um_00342_00319-1,11
s_016um_00129_00054-1,7
s_016um_00158_00053-1,9
s_016um_00192_00291-1,11
s_016um_00150_00134-1,10
s_016um_00094_00121-1,11
s_016um_00216_00099-1,8
s_016um_00213_00369-1,16
s_016um_00299_00005-1,8
s_016um_00242_00082-1,17
s_016um_00169_00345-1,16
s_016um_00225_00338-1,1
s_016um_00334_00238-1,8
s_016um_00190_00154-1,9
s_016um_00132_00402-1,17
s_016um_00268_00384-1,8
s_016um_00111_00345-1,11
s_016um_00118_00136-1,14
s_016um_00318_00289-1,18
s_016um_00095_00365-1,16
s_016um_00032_00040-1,6
s_016um_00268_00281-1,17
s_016um_00088_00416-1,3
s_016um_00219_00128-1,9
s_016um_00020_00412-1,17
s_016um_00163_00016-1,17
s_016um_00187_00297-1,16
s_016um_00252_00100-1,5
s_016um_00212_00297-1,8
s_016um_00186_00187-1,20
s_016um_00195_00279-1,12
s_016um_00124_00350-1,1
s_016um_00111_00221-1,9
s_016um_00036_00096-1,8
s_016um_00037_00092-1,8
s_016um_00172_00332-1,17
s_016um_00026_00152-1,8
s_016um_00140_00012-1,10
s_016um_00055_00346-1,16
s_016um_00027_00310-1,8
s_016um_00299_00051-1,11
s_016um_00274_00084-1,16
s_016um_00110_00220-1,9
s_016um_00264_00282-1,17
s_016um_00007_00044-1,7
s_016um_00138_00241-1,12
s_016um_00047_00343-1,11
s_016um_00069_00158-1,8
s_016um_00046_00257-1,5
s_016um_00201_00193-1,6
s_016um_00271_00082-1,18
s_016um_00153_00210-1,6
s_016um_00130_00063-1,13
s_016um_00025_00310-1,8
s_016um_00155_00368-1,11
s_016um_00110_00145-1,7
s_016um_00224_00269-1,9
s_016um_00131_00325-1,17
s_016um_00195_00229-1,8
s_016um_00007_00290-1,5
s_016um_00126_00208-1,8
s_016um_00128_00257-1,5
s_016um_00276_00180-1,16
s_016um_00028_00044-1,8
s_016um_00097_00158-1,9
s_016um_00091_00285-1,20
s_016um_00247_00311-1,20
s_016um_00144_00185-1,3
s_016um_00026_00164-1,8
s_016um_00069_00250-1,8
s_016um_00215_00279-1,13
s_016um_00188_00065-1,9
s_016um_00165_00184-1,3
s_016um_00379_00261-1,8
s_016um_00098_00035-1,6
s_016um_00165_00010-1,10
s_016um_00217_00245-1,12
s_016um_00053_00004-1,6
s_016um_00171_00367-1,5
s_016um_00172_00260-1,12
s_016um_00152_00362-1,16
s_016um_00339_00336-1,11
s_016um_00135_00072-1,7
s_016um_00100_00104-1,9
s_016um_00130_00285-1,8
s_016um_00071_00154-1,8
s_016um_00059_00226-1,8
s_016um_00281_00211-1,8
s_016um_00175_00332-1,16
s_016um_00070_00261-1,12
s_016um_00141_00024-1,20
s_016um_00108_00175-1,5
s_016um_00018_00147-1,8
s_016um_00231_00143-1,11
s_016um_00281_00115-1,13
s_016um_00073_00391-1,1
s_016um_00253_00073-1,8
s_016um_00243_00017-1,8
s_016um_00037_00035-1,8
s_016um_00222_00219-1,18
s_016um_00081_00257-1,12
s_016um_00159_00170-1,16
s_016um_00308_00211-1,11
s_016um_00272_00101-1,8
s_016um_00297_00166-1,16
s_016um_00357_00281-1,16
s_016um_00070_00355-1,9
s_016um_00326_00238-1,8
s_016um_00199_00041-1,6
s_016um_00281_00135-1,17
s_016um_00195_00187-1,17
s_016um_00301_00367-1,5
s_016um_00247_00154-1,8
s_016um_00195_00186-1,17
s_016um_00135_00172-1,18
s_016um_00066_00085-1,6
s_016um_00206_00130-1,20
s_016um_00191_00257-1,12
s_016um_00312_00304-1,16
s_016um_00044_00071-1,6
s_016um_00147_00129-1,18
s_016um_00056_00061-1,8
s_016um_00087_00322-1,9
s_016um_00209_00182-1,6
s_016um_00225_00155-1,9
s_016um_00236_00109-1,10
s_016um_00162_00001-1,17
s_016um_00087_00250-1,12
s_016um_00240_00053-1,9
s_016um_00222_00292-1,17
s_016um_00271_00046-1,18
s_016um_00107_00383-1,11
s_016um_00282_00217-1,17
s_016um_00080_00282-1,5
s_016um_00268_00193-1,17
s_016um_00239_00257-1,4
s_016um_00261_00198-1,17
s_016um_00199_00294-1,14
s_016um_00175_00250-1,14
s_016um_00048_00245-1,8
s_016um_00013_00357-1,11
s_016um_00146_00324-1,12
s_016um_00317_00262-1,4
s_016um_00032_00130-1,8
s_016um_00008_00057-1,6
s_016um_00153_00341-1,17
s_016um_00230_00368-1,12
s_016um_00217_00243-1,9
s_016um_00265_00217-1,8
s_016um_00269_00052-1,20
s_016um_00229_00311-1,17
s_016um_00136_00024-1,6
s_016um_00065_00172-1,8
s_016um_00097_00122-1,18
s_016um_00275_00148-1,17
s_016um_00236_00121-1,16
s_016um_00021_00083-1,8
s_016um_00114_00312-1,12
